,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Du_1,Du_2,Du_3,Du_4,Du_5,Du_6,Du_7,Du_8,Du_9,Du_10,En_1,En_2,En_3,En_4,En_5,En_6,En_7,En_8,En_9,En_10,Fi_1,Fi_2,Fi_3,Fi_4,Fi_5,Fi_6,Fi_7,Fi_8,Fi_9,Fi_10,Fr_1,Fr_2,Fr_3,Fr_4,Fr_5,Fr_6,Fr_7,Fr_8,Fr_9,Fr_10,It_1,It_2,It_3,It_4,It_5,It_6,It_7,It_8,It_9,It_10,Po_1,Po_2,Po_3,Po_4,Po_5,Po_6,Po_7,Po_8,Po_9,Po_10,Sp_1,Sp_2,Sp_3,Sp_4,Sp_5,Sp_6,Sp_7,Sp_8,Sp_9,Sp_10
S2,489,1017,1577,2156,2702,3251,3786,4304,4858,5358,621,1272,1898,2515,3100,3693,4262,4839,5458,6091,885,1714,2599,3438,4252,5145,6058,6904,7799,8644,559,1132,1679,2234,2810,3406,3960,4549,5136,5759,295,579,851,1172,1431,1698,1986,2275,2562,2829,422,820,1211,1618,2037,2455,2902,3342,3788,4230,525,1083,1690,2253,2857,3506,4112,4745,5352,5942,1573,3173,4859,6561,8228,9906,11593,13295,14957,16579
S3,76,145,226,301,399,498,562,633,721,795,118,207,300,388,482,586,672,752,839,939,246,536,832,1117,1361,1624,1875,2121,2375,2602,130,279,424,585,743,892,1028,1175,1308,1467,160,316,476,659,815,1004,1155,1321,1508,1686,263,544,763,999,1269,1527,1764,2040,2289,2605,242,478,750,1030,1285,1528,1772,2021,2306,2530,208,388,612,831,1046,1227,1445,1661,1877,2103
S4,93,208,307,393,485,601,702,818,906,1013,356,679,987,1315,1661,1979,2242,2573,2876,3172,297,577,861,1123,1435,1730,2032,2325,2583,2850,219,423,645,891,1123,1371,1577,1809,2033,2276,298,580,842,1110,1368,1630,1905,2159,2455,2693,293,598,878,1176,1495,1758,2065,2380,2670,2949,204,455,714,957,1187,1436,1667,1926,2176,2440,94,165,251,356,456,541,638,719,816,903
S5,403,875,1326,1756,2224,2653,3089,3520,3968,4417,449,962,1455,1901,2351,2841,3307,3762,4246,4743,1119,2349,3597,4778,6002,7279,8456,9691,10932,12159,779,1558,2340,3100,3844,4593,5394,6156,6933,7702,522,1045,1514,2057,2626,3156,3693,4199,4746,5295,981,1982,3024,4038,5062,6041,7051,8120,9120,10070,1032,2087,3109,4114,5171,6143,7196,8293,9347,10414,388,758,1173,1526,1917,2287,2680,3078,3466,3932
S6,266,521,771,994,1226,1462,1690,1937,2196,2447,324,656,979,1316,1633,1957,2285,2609,2929,3229,731,1457,2218,2946,3758,4546,5291,6026,6801,7580,618,1232,1867,2549,3178,3882,4538,5189,5837,6472,213,406,622,815,1032,1266,1482,1701,1910,2139,665,1330,1978,2642,3300,3943,4576,5213,5905,6584,1284,2618,3905,5299,6618,7963,9279,10557,11875,13251,389,762,1115,1530,1920,2318,2732,3100,3505,3888
S7,509,987,1511,2054,2535,3054,3553,4037,4531,5045,749,1576,2368,3147,3914,4702,5472,6281,7050,7814,1406,2838,4277,5708,7158,8594,10103,11524,12956,14370,842,1819,2737,3630,4541,5460,6406,7333,8241,9095,791,1568,2377,3270,4065,4910,5746,6563,7396,8232,1132,2315,3461,4545,5664,6808,7934,9110,10256,11408,859,1828,2754,3666,4561,5483,6438,7344,8245,9103,981,1950,3001,4036,5057,6104,7169,8209,9308,10352
S8,82,158,266,353,420,513,591,678,753,836,590,1212,1784,2383,2971,3563,4159,4796,5415,6025,1133,2307,3497,4671,5860,7055,8211,9370,10532,11714,506,968,1449,1987,2478,2960,3470,3969,4500,5001,337,686,1093,1486,1855,2196,2552,2959,3315,3680,585,1190,1807,2377,2946,3530,4148,4787,5353,5897,1552,3123,4679,6268,7842,9407,10967,12577,14216,15842,1474,2929,4365,5865,7350,8812,10292,11768,13312,14777
S9,70,163,239,321,393,488,561,642,724,794,172,351,530,731,910,1091,1283,1452,1649,1816,289,526,776,1075,1318,1559,1836,2154,2410,2678,394,740,1119,1472,1817,2137,2489,2835,3153,3475,124,268,397,524,646,780,943,1068,1213,1336,553,1089,1654,2218,2816,3383,3979,4575,5176,5730,238,463,720,949,1179,1423,1702,1971,2253,2493,360,727,1100,1459,1803,2175,2510,2874,3232,3597
T1,1332,2766,4196,5606,7046,8515,9895,11380,12761,14224,3662,7284,10893,14567,18242,21886,25514,29184,32907,36584,10613,20956,31387,41698,51726,61580,71798,81980,92408,102825,3377,6880,10438,13733,17229,20741,24113,27472,30944,34563,2442,4753,7221,9672,12087,14411,16845,19166,21647,24066,2995,6045,9159,12238,15299,18224,21197,24244,27294,30462,2766,5595,8361,11121,13890,16704,19469,22246,24929,27707,2545,5147,7804,10399,12863,15477,18037,20513,23062,25534
T2,331,658,1002,1314,1646,2001,2296,2668,2992,3356,592,1187,1800,2355,2923,3500,4107,4678,5251,5830,1048,2106,3120,4156,5236,6298,7348,8356,9407,10464,1530,3124,4642,6130,7611,9192,10661,12160,13693,15160,278,537,788,1070,1325,1593,1858,2108,2366,2632,944,1896,2810,3742,4667,5548,6449,7379,8338,9251,460,891,1287,1710,2154,2597,3054,3468,3916,4333,424,831,1249,1640,2059,2491,2919,3370,3786,4204
T3,288,612,896,1203,1489,1747,2069,2371,2716,3016,549,1076,1612,2144,2685,3249,3811,4343,4889,5457,732,1386,2122,2812,3536,4215,4925,5560,6249,6982,672,1370,2063,2739,3452,4160,4838,5513,6219,6958,403,847,1313,1780,2178,2572,2997,3440,3870,4312,763,1503,2310,3048,3834,4581,5336,6085,6840,7568,202,419,606,787,986,1169,1370,1562,1770,1942,420,812,1206,1586,1987,2389,2791,3163,3573,3952
