,dim1,dim2,dim3,language
Fi_7,0.0021670407636339597,-0.001272535132168629,-0.0032722312050908323,Finish
Fi_8,0.0022131066723653898,-0.0012997030527465453,-0.0032720932830817007,Finish
Fi_9,0.0022310651384857276,-0.001320439447183159,-0.0032009886072080305,Finish
Fi_10,0.0021894663557757445,-0.0012483335619859835,-0.0032222424388818347,Finish
Fr_1,-0.00041124047842088017,-0.0019648725748563213,0.0009640416828954198,French
Fr_2,-0.0004547687639761541,-0.0017590654465385947,0.001302837218050172,French
Fr_3,-0.0006275687037512475,-0.002062356963105475,0.0012922855131104445,French
Fr_4,-0.000620162937882485,-0.0019088684372809987,0.0012314824714816253,French
Fr_5,-0.0005986237504203434,-0.001994786578259369,0.0013107161579985567,French
Fr_6,-0.00033405355887030817,-0.001970048015379918,0.0014320720621928422,French
Fr_7,-0.00034426253098763604,-0.001990804848446766,0.0014039922549205519,French
Fr_8,-0.0004102050271711214,-0.0019880941895741603,0.001340685630466005,French
Fr_9,-0.0005033732810905648,-0.0018321583766194279,0.0012554954636784038,French
Fr_10,-0.0003029041773660165,-0.002009677284666654,0.001410468632099699,French
It_1,0.00351081734970809,-0.005112949734441183,-0.0071150332664524476,Italian
It_2,0.003770304747091219,-0.005274902429633771,-0.0068334713800661155,Italian
It_3,0.0036344907024428138,-0.005036565963701285,-0.006830850340007947,Italian
It_4,0.0034394333848992275,-0.004938265938146176,-0.006955442693457849,Italian
It_5,0.0037435356835258888,-0.005053355579946951,-0.006809513447797282,Italian
It_6,0.003679414025516679,-0.005032641180693118,-0.006792946100400545,Italian
It_7,0.003730376870172173,-0.00506997045745021,-0.006827288237415291,Italian
It_8,0.0035754932104989745,-0.004996394038703621,-0.006914957363636763,Italian
It_9,0.0036947453451748463,-0.005033125261545262,-0.0068240050804092844,Italian
It_10,0.003645203488063787,-0.004989265434140119,-0.006863750987146428,Italian
Po_1,-0.002356312823702399,0.00132777951259233,0.002409645074183265,Portuguese
Po_2,-0.0023452170098477105,0.001201125080030099,0.0022124686090539522,Portuguese
Po_3,-0.0023467910201244763,0.0010319152122508566,0.002080423731988027,Portuguese
Po_4,-0.002388098816792328,0.0010995789441314927,0.0020813791482151463,Portuguese
Po_5,-0.0024152421256560933,0.0010023696993445336,0.002042595819973019,Portuguese
Po_6,-0.002443393928791724,0.0009249583394825999,0.0019681191986054202,Portuguese
Po_7,-0.00240095689616426,0.0009064438816168445,0.0019030333470319693,Portuguese
Po_8,-0.0023778719144479194,0.0009466662557855613,0.0018863466753660557,Portuguese
Po_9,-0.002382383557704155,0.000900661390842957,0.0018974337548356359,Portuguese
Po_10,-0.0023984992786552405,0.0009130985909259056,0.00193477417319423,Portuguese
Sp_1,0.0037712387554592027,-0.010095085521883571,-0.010250422973579427,Spanish
Sp_2,0.0029710366058919115,-0.009889551602944364,-0.009814477833050417,Spanish
Sp_3,0.002767384588090877,-0.009820870633200389,-0.0100483847386751,Spanish
Sp_4,0.0036598571111933565,-0.009970260587787038,-0.009900171624157664,Spanish
Sp_5,0.0027872506836282497,-0.009492813308311063,-0.01067407253201521,Spanish
Sp_6,0.0031812666233778926,-0.009535739948941128,-0.010224877730055093,Spanish
Sp_7,0.003177988114023016,-0.00954875155700223,-0.010234463888555598,Spanish
Sp_8,0.002717384875520581,-0.009508838072916581,-0.010311443146968942,Spanish
Sp_9,0.002608684077323748,-0.009622670646064289,-0.010253350251463692,Spanish
Sp_10,0.002966836157363747,-0.009874905283714217,-0.009911846793803495,Spanish
